ticker;quantity;divisa;payday
BME:ANA;3,5226;EUR;01/07/2019
BME:ANA;3;EUR;02/07/2018
BME:ANA;2,875;EUR;03/07/2017
BME:ANA;2,5;EUR;01/07/2016
BME:ANA;2;EUR;02/07/2015
BME:ACX;0,4;EUR;08/06/2020
BME:ACX;0,3;EUR;05/06/2019
BME:ACX;0,45;EUR;05/07/2018
BME:ACX;0,45;EUR;05/07/2017
BME:ACX;0,44;EUR;22/07/2016
BME:ACS;1,899;EUR;23/03/2020
BME:ACS;1,9;EUR;19/07/2019
BME:ACS;1,3773;EUR;20/02/2019
BME:ACS;1,3738;EUR;20/07/2018
BME:ACS;1,2;EUR;07/02/2018
BME:ACS;1,196;EUR;26/07/2017
BME:AENA;7,58;EUR;15/04/2020
BME:AENA;6,93;EUR;23/04/2019
BME:AENA;6,5;EUR;19/04/2018
BME:AENA;3,83;EUR;04/05/2017
BME:AMS;0,56;EUR;17/01/2020
BME:AMS;1,175;EUR;12/07/2019
BME:AMS;1,165;EUR;17/01/2019
BME:AMS;1,135;EUR;29/06/2018
BME:AMS;1,02;EUR;31/01/2018
BME:AMS;0,94;EUR;30/06/2017
BME:MTS;0,0805;EUR;13/06/2018
BME:SAB;0,02;EUR;03/04/2020
BME:SAB;0,02;EUR;24/12/2019
BME:SAB;0,0296;EUR;05/04/2019
BME:SAB;0,07;EUR;27/04/2018
BME:SAB;0,02;EUR;29/12/2017
BME:SAB;0,05;EUR;07/04/2017
BME:BKIA;0,1158;EUR;15/04/2020
BME:BKIA;0,1158;EUR;02/04/2020
BME:BKIA;0,1158;EUR;11/04/2019
BME:BKIA;0,1102;EUR;20/04/2018
BME:BKIA;0,1102;EUR;31/03/2017
BME:BKT;0,2929;EUR;26/03/2020
BME:BKT;0,2945;EUR;27/12/2019
BME:BKT;0,2945;EUR;25/09/2019
BME:BKT;0,2945;EUR;26/06/2019
BME:BKT;0,2929;EUR;28/03/2019
BME:BKT;0,2814;EUR;27/06/2018
BME:BBVA;0,26;EUR;09/04/2020
BME:BBVA;0,26;EUR;15/10/2019
BME:BBVA;0,26;EUR;10/04/2019
BME:BBVA;0,3839;EUR;13/06/2018
BME:BBVA;0,24;EUR;10/04/2018
BME:BBVA;0,3786;EUR;10/10/2017
BME:CABK;0,07;EUR;15/04/2020
BME:CABK;0,17;EUR;15/04/2019
BME:CABK;0,15;EUR;05/11/2018
BME:CABK;0,15;EUR;13/04/2018
BME:CABK;0,17;EUR;02/11/2017
BME:CABK;0,1296;EUR;13/04/2017
BME:CLNX;0,0754;EUR;22/11/2019
BME:CLNX;0,0842;EUR;10/07/2019
BME:CLNX;0,0863;EUR;14/12/2017
BME:CLNX;0,0863;EUR;11/05/2017
BME:CIE;0,74;EUR;06/07/2020
BME:CIE;0,68;EUR;03/01/2020
DME:COL;0,2;EUR;01/07/2019
DME:COL;0,18;EUR;18/06/2018
DME:COL;0,165;EUR;07/07/2017
BME:ENG;1,558;EUR;23/12/2019
BME:ENG;1,53;EUR;03/07/2019
BME:ENG;1,46;EUR;05/07/2018
BME:ENG;1,418;EUR;21/12/2017
BME:ENG;1,39;EUR;05/07/2017
BME:ENG;1,348;EUR;22/12/2016
BME:ENC;0,21;EUR;19/09/2019
BME:ELE;1,427;EUR;02/01/2020
BME:ELE;1,427;EUR;02/07/2019
BME:ELE;1,382;EUR;02/07/2018
BME:ELE;1,333;EUR;02/01/2018
BME:ELE;1,333;EUR;03/07/2017
BME:ELE;1,326;EUR;02/01/2017
BME:FER;0,7163;EUR;06/12/2019
BME:FER;0,7148;EUR;14/06/2019
BME:FER;0,717;EUR;05/12/2018
BME:FER;0,7141;EUR;20/06/2018
BME:FER;0,7149;EUR;30/11/2017
BME:FER;0,7192;EUR;09/06/2017
BME:GRF;0,3451;EUR;04/12/2019
BME:GRF;0,3451;EUR;11/06/2019
BME:GRF;0,302;EUR;04/12/2018
BME:GRF;0,204;EUR;05/06/2018
BME:GRF;0,3156;EUR;05/12/2017
BME:GRF;0,3156;EUR;01/06/2017
BME:IAG;0,27;EUR;02/07/2018
BME:IAG;0,27;EUR;04/12/2017
BME:IAG;0,235;EUR;03/07/2017
BME:IAG;0,2;EUR;04/07/2016
BME:IBE;0,3652;EUR;07/02/2020
BME:IBE;0,3476;EUR;02/08/2019
BME:IBE;0,3335;EUR;06/02/2019
BME:IBE;0,3226;EUR;01/08/2018
BME:IBE;0,299;EUR;07/02/2018
BME:IBE;0,3092;EUR;27/07/2017
BME:ITX;0,88;EUR;04/11/2019
BME:ITX;0,88;EUR;02/05/2019
BME:ITX;0,75;EUR;02/11/2018
BME:ITX;0,625;EUR;02/05/2018
BME:ITX;0,68;EUR;02/11/2017
BME:ITX;0,34;EUR;02/05/2017
BME:MAP;0,1463;EUR;23/12/2019
BME:MAP;0,1462;EUR;25/06/2019
BME:MAP;0,1462;EUR;20/12/2018
BME:MAP;0,1462;EUR;14/06/2018
BME:MAP;0,1464;EUR;14/12/2017
BME:MAP;0,1465;EUR;20/06/2017
BME:TL5;0,3156;EUR;30/04/2019
BME:TL5;0,5029;EUR;03/05/2018
BME:TL5;0,4372;EUR;09/05/2017
BME:MEL;0,183;EUR;09/07/2019
BME:MEL;0,1681;EUR;10/07/2018
BME:MEL;0,1315;EUR;11/07/2017
BME:MEL;0,04;EUR;19/07/2016
BME:MRL;0,5;EUR;28/10/2019
BME:MRL;0,5;EUR;07/05/2019
BME:MRL;0,46;EUR;25/10/2018
BME:MRL;0,46;EUR;25/05/2018
BME:MRL;0,4;EUR;25/10/2017
BME:MRL;0,0993;EUR;18/05/2017
BME:NTGY;0,95;EUR;31/07/2018
BME:NTGY;1;EUR;05/07/2018
BME:NTGY;1;EUR;27/06/2018
BME:NTGY;1;EUR;27/09/2017
BME:NTGY;1;EUR;27/06/2017
BME:REE;1,0519;EUR;01/07/2020
BME:REE;0,9831;EUR;07/01/2020
BME:REE;0,9831;EUR;01/07/2019
BME:REE;0,9188;EUR;02/07/2018
BME:REE;0,8754;EUR;05/01/2018
BME:REE;0,8587;EUR;03/07/2017
BME:REP;0,9165;EUR;23/01/2020
BME:REP;0,9057;EUR;22/07/2019
BME:REP;0,8862;EUR;24/01/2019
BME:REP;0,8633;EUR;23/07/2018
BME:REP;0,806;EUR;22/01/2018
